,Word,Number of Syllables,Formatted for JS,Syllables Separated by semicolon,1st Syllable,2nd Syllable,3rd Syllable,4th Syllable,5th Syllable,6th Syllable,7th Syllable,8th Syllable
,disturbance,3,"'disturbance': 3,",dis;turb;ance,dis,turb,ance,,,,,
,disturbing,3,"'disturbing': 3,",dis;turb;ing,dis,turb,ing,,,,,
,disturbed,2,"'disturbed': 2,",dis;turbed,dis,turbed,,,,,,
,disc,1,"'disc': 1,",disc,disc,,,,,,,
,dish,1,"'dish': 1,",dish,dish,,,,,,,
,dishwasher,3,"'dishwasher': 3,",dish;wash;er,dish,wash,er,,,,,
,disk,1,"'disk': 1,",disk,disk,,,,,,,
,dist,1,"'dist': 1,",dist,dist,,,,,,,
,distr,1,"'distr': 1,",distr,distr,,,,,,,
,dit,1,"'dit': 1,",dit,dit,,,,,,,
,ditto,2,"'ditto': 2,",dit;to,dit,to,,,,,,
,ditty,2,"'ditty': 2,",dit;ty,dit,ty,,,,,,
,ditch,1,"'ditch': 1,",ditch,ditch,,,,,,,
,div,1,"'div': 1,",div,div,,,,,,,
,diver,2,"'diver': 2,",div;er,div,er,,,,,,
,dividend,3,"'dividend': 3,",div;i;dend,div,i,dend,,,,,
,divination,4,"'divination': 4,",div;i;na;tion,div,i,na,tion,,,,
,diving,2,"'diving': 2,",div;ing,div,ing,,,,,,
,dive,1,"'dive': 1,",dive,dive,,,,,,,
,dixie,2,"'dixie': 2,",dix;ie,dix,ie,,,,,,
,dixit,2,"'dixit': 2,",dix;it,dix,it,,,,,,
,diy,1,"'diy': 1,",diy,diy,,,,,,,
,dizziness,3,"'dizziness': 3,",diz;zi;ness,diz,zi,ness,,,,,
,dizzy,2,"'dizzy': 2,",diz;zy,diz,zy,,,,,,
,dizzying,3,"'dizzying': 3,",diz;zy;ing,diz,zy,ing,,,,,
,dlr,1,"'dlr': 1,",dlr,dlr,,,,,,,
,doable,3,"'doable': 3,",do;a;ble,do,a,ble,,,,,
,dobra,2,"'dobra': 2,",do;bra,do,bra,,,,,,
,dodo,2,"'dodo': 2,",do;do,do,do,,,,,,
,doer,2,"'doer': 2,",do;er,do,er,,,,,,
,doing,2,"'doing': 2,",do;ing,do,ing,,,,,,
,doings,2,"'doings': 2,",do;ings,do,ings,,,,,,
,dojo,2,"'dojo': 2,",do;jo,do,jo,,,,,,
,dolomite,3,"'dolomite': 3,",do;lo;mite,do,lo,mite,,,,,
,domain,2,"'domain': 2,",do;main,do,main,,,,,,
,domestically,5,"'domestically': 5,",do;mes;ti;cal;ly,do,mes,ti,cal,ly,,,
,domesticated,5,"'domesticated': 5,",do;mes;ti;cat;ed,do,mes,ti,cat,ed,,,
,domestic,3,"'domestic': 3,",do;mes;tic,do,mes,tic,,,,,
,dominion,3,"'dominion': 3,",do;min;ion,do,min,ion,,,,,
,dona,2,"'dona': 2,",do;na,do,na,,,,,,
,donation,3,"'donation': 3,",do;na;tion,do,na,tion,,,,,
,donated,3,"'donated': 3,",do;nat;ed,do,nat,ed,,,,,
,donating,3,"'donating': 3,",do;nat;ing,do,nat,ing,,,,,
,donate,2,"'donate': 2,",do;nate,do,nate,,,,,,
,donor,2,"'donor': 2,",do;nor,do,nor,,,,,,
,donut,2,"'donut': 2,",do;nut,do,nut,,,,,,
,dorado,3,"'dorado': 3,",do;ra;do,do,ra,do,,,,,
,dore,2,"'dore': 2,",do;re,do,re,,,,,,
,dory,2,"'dory': 2,",do;ry,do,ry,,,,,,
,dosimetry,4,"'dosimetry': 4,",do;sim;e;try,do,sim,e,try,,,,
,dobson,2,"'dobson': 2,",dob;son,dob,son,,,,,,
,doc,1,"'doc': 1,",doc,doc,,,,,,,
,doctor,2,"'doctor': 2,",doc;tor,doc,tor,,,,,,
,doctoral,3,"'doctoral': 3,",doc;tor;al,doc,tor,al,,,,,
,doctorate,3,"'doctorate': 3,",doc;tor;ate,doc,tor,ate,,,,,
,doctrinal,3,"'doctrinal': 3,",doc;tri;nal,doc,tri,nal,,,,,
,doctrine,2,"'doctrine': 2,",doc;trine,doc,trine,,,,,,
,documentary,5,"'documentary': 5,",doc;u;men;ta;ry,doc,u,men,ta,ry,,,
,documentation,5,"'documentation': 5,",doc;u;men;ta;tion,doc,u,men,ta,tion,,,
,document,3,"'document': 3,",doc;u;ment,doc,u,ment,,,,,
,dock,1,"'dock': 1,",dock,dock,,,,,,,
,docket,2,"'docket': 2,",dock;et,dock,et,,,,,,
,dodger,2,"'dodger': 2,",dodg;er,dodg,er,,,,,,
,dodging,2,"'dodging': 2,",dodg;ing,dodg,ing,,,,,,
,dodgy,2,"'dodgy': 2,",dodg;y,dodg,y,,,,,,
,dodge,1,"'dodge': 1,",dodge,dodge,,,,,,,
,doe,1,"'doe': 1,",doe,doe,,,,,,,
,does,1,"'does': 1,",does,does,,,,,,,
,dog,1,"'dog': 1,",dog,dog,,,,,,,
,dogged,2,"'dogged': 2,",dog;ged,dog,ged,,,,,,
,doggie,2,"'doggie': 2,",dog;gie,dog,gie,,,,,,
,dogging,2,"'dogging': 2,",dog;ging,dog,ging,,,,,,
,doggy,2,"'doggy': 2,",dog;gy,dog,gy,,,,,,
,doghouse,2,"'doghouse': 2,",dog;house,dog,house,,,,,,
,dogma,2,"'dogma': 2,",dog;ma,dog,ma,,,,,,
,dogmatic,3,"'dogmatic': 3,",dog;mat;ic,dog,mat,ic,,,,,
,dogwood,2,"'dogwood': 2,",dog;wood,dog,wood,,,,,,
,dogs,1,"'dogs': 1,",dogs,dogs,,,,,,,
,doh,1,"'doh': 1,",doh,doh,,,,,,,
,doit,1,"'doit': 1,",doit,doit,,,,,,,
,dol,1,"'dol': 1,",dol,dol,,,,,,,
,dolce,2,"'dolce': 2,",dol;ce,dol,ce,,,,,,
,dollar,2,"'dollar': 2,",dol;lar,dol,lar,,,,,,
,dollies,2,"'dollies': 2,",dol;lies,dol,lies,,,,,,
,dolly,2,"'dolly': 2,",dol;ly,dol,ly,,,,,,
,dolor,2,"'dolor': 2,",dol;or,dol,or,,,,,,
,dolphin,2,"'dolphin': 2,",dol;phin,dol,phin,,,,,,
,dole,1,"'dole': 1,",dole,dole,,,,,,,
,doll,1,"'doll': 1,",doll,doll,,,,,,,
,dollhouse,2,"'dollhouse': 2,",doll;house,doll,house,,,,,,
,dom,1,"'dom': 1,",dom,dom,,,,,,,
,domicile,3,"'domicile': 3,",dom;i;cile,dom,i,cile,,,,,
,domiciled,3,"'domiciled': 3,",dom;i;ciled,dom,i,ciled,,,,,
,domination,4,"'domination': 4,",dom;i;na;tion,dom,i,na,tion,,,,
,dominator,4,"'dominator': 4,",dom;i;na;tor,dom,i,na,tor,,,,
,dominance,3,"'dominance': 3,",dom;i;nance,dom,i,nance,,,,,
,dominant,3,"'dominant': 3,",dom;i;nant,dom,i,nant,,,,,
,dominated,4,"'dominated': 4,",dom;i;nat;ed,dom,i,nat,ed,,,,
,dominating,4,"'dominating': 4,",dom;i;nat;ing,dom,i,nat,ing,,,,
,dominate,3,"'dominate': 3,",dom;i;nate,dom,i,nate,,,,,
,domino,3,"'domino': 3,",dom;i;no,dom,i,no,,,,,
,dominoes,3,"'dominoes': 3,",dom;i;noes,dom,i,noes,,,,,
,dome,1,"'dome': 1,",dome,dome,,,,,,,
,domed,1,"'domed': 1,",domed,domed,,,,,,,
,don,1,"'don': 1,",don,don,,,,,,,
,donkey,2,"'donkey': 2,",don;key,don,key,,,,,,
,donna,2,"'donna': 2,",don;na,don,na,,,,,,
,donne,2,"'donne': 2,",don;ne,don,ne,,,,,,
,donny,2,"'donny': 2,",don;ny,don,ny,,,,,,
,done,1,"'done': 1,",done,done,,,,,,,
,dong,1,"'dong': 1,",dong,dong,,,,,,,
,doodle,2,"'doodle': 2,",doo;dle,doo,dle,,,,,,
,doom,1,"'doom': 1,",doom,doom,,,,,,,
,doomsday,2,"'doomsday': 2,",dooms;day,dooms,day,,,,,,
,door,1,"'door': 1,",door,door,,,,,,,
,doorbell,2,"'doorbell': 2,",door;bell,door,bell,,,,,,
,doorman,2,"'doorman': 2,",door;man,door,man,,,,,,
,doorstep,2,"'doorstep': 2,",door;step,door,step,,,,,,
,doorway,2,"'doorway': 2,",door;way,door,way,,,,,,
,dop,1,"'dop': 1,",dop,dop,,,,,,,
,doping,2,"'doping': 2,",dop;ing,dop,ing,,,,,,
,dope,1,"'dope': 1,",dope,dope,,,,,,,
,dor,1,"'dor': 1,",dor,dor,,,,,,,
,dormant,2,"'dormant': 2,",dor;mant,dor,mant,,,,,,
,dormer,2,"'dormer': 2,",dor;mer,dor,mer,,,,,,
,dormitory,4,"'dormitory': 4,",dor;mi;to;ry,dor,mi,to,ry,,,,
,dorsal,2,"'dorsal': 2,",dor;sal,dor,sal,,,,,,
,dorm,1,"'dorm': 1,",dorm,dorm,,,,,,,
,dorr,1,"'dorr': 1,",dorr,dorr,,,,,,,
,dosage,2,"'dosage': 2,",dos;age,dos,age,,,,,,
,dosing,2,"'dosing': 2,",dos;ing,dos,ing,,,,,,
,dossier,3,"'dossier': 3,",dos;si;er,dos,si,er,,,,,
,dossiers,3,"'dossiers': 3,",dos;si;ers,dos,si,ers,,,,,
,dose,1,"'dose': 1,",dose,dose,,,,,,,
,doss,1,"'doss': 1,",doss,doss,,,,,,,
,dost,1,"'dost': 1,",dost,dost,,,,,,,
,dot,1,"'dot': 1,",dot,dot,,,,,,,
,dotted,2,"'dotted': 2,",dot;ted,dot,ted,,,,,,
,doty,2,"'doty': 2,",dot;y,dot,y,,,,,,
,doth,1,"'doth': 1,",doth,doth,,,,,,,
,double,2,"'double': 2,",dou;ble,dou,ble,,,,,,
,doubletree,3,"'doubletree': 3,",dou;ble;tree,dou,ble,tree,,,,,
,doubles,2,"'doubles': 2,",dou;bles,dou,bles,,,,,,
,doublet,2,"'doublet': 2,",dou;blet,dou,blet,,,,,,
,doubling,2,"'doubling': 2,",dou;bling,dou,bling,,,,,,
,doubly,2,"'doubly': 2,",dou;bly,dou,bly,,,,,,
,doubt,1,"'doubt': 1,",doubt,doubt,,,,,,,
,doubtful,2,"'doubtful': 2,",doubt;ful,doubt,ful,,,,,,
,doubtless,2,"'doubtless': 2,",doubt;less,doubt,less,,,,,,
,douche,1,"'douche': 1,",douche,douche,,,,,,,
,dough,1,"'dough': 1,",dough,dough,,,,,,,
,doughnut,2,"'doughnut': 2,",dough;nut,dough,nut,,,,,,
,doughty,2,"'doughty': 2,",dough;ty,dough,ty,,,,,,
,dove,1,"'dove': 1,",dove,dove,,,,,,,
,dovecot,2,"'dovecot': 2,",dove;cot,dove,cot,,,,,,
,dovetail,2,"'dovetail': 2,",dove;tail,dove,tail,,,,,,
,dow,1,"'dow': 1,",dow,dow,,,,,,,
,dowel,2,"'dowel': 2,",dow;el,dow,el,,,,,,
,dowry,2,"'dowry': 2,",dow;ry,dow,ry,,,,,,
,down,1,"'down': 1,",down,down,,,,,,,
,downer,2,"'downer': 2,",down;er,down,er,,,,,,
,downfall,2,"'downfall': 2,",down;fall,down,fall,,,,,,
,downgraded,3,"'downgraded': 3,",down;grad;ed,down,grad,ed,,,,,
,downgrade,2,"'downgrade': 2,",down;grade,down,grade,,,,,,
,downhill,2,"'downhill': 2,",down;hill,down,hill,,,,,,
,downright,2,"'downright': 2,",down;right,down,right,,,,,,
,downstairs,2,"'downstairs': 2,",down;stairs,down,stairs,,,,,,
,downstream,2,"'downstream': 2,",down;stream,down,stream,,,,,,
,downtime,2,"'downtime': 2,",down;time,down,time,,,,,,
,downtown,2,"'downtown': 2,",down;town,down,town,,,,,,
,downturn,2,"'downturn': 2,",down;turn,down,turn,,,,,,
,downward,2,"'downward': 2,",down;ward,down,ward,,,,,,
,downwards,2,"'downwards': 2,",down;wards,down,wards,,,,,,
,downwind,2,"'downwind': 2,",down;wind,down,wind,,,,,,
,downy,2,"'downy': 2,",down;y,down,y,,,,,,
,downs,1,"'downs': 1,",downs,downs,,,,,,,
,doz,1,"'doz': 1,",doz,doz,,,,,,,
,dozen,2,"'dozen': 2,",doz;en,doz,en,,,,,,
,dozens,2,"'dozens': 2,",doz;ens,doz,ens,,,,,,
,dozer,2,"'dozer': 2,",doz;er,doz,er,,,,,,
,dpt,1,"'dpt': 1,",dpt,dpt,,,,,,,
,dragoon,2,"'dragoon': 2,",dra;goon,dra,goon,,,,,,
,drama,2,"'drama': 2,",dra;ma,dra,ma,,,,,,
,dramatically,5,"'dramatically': 5,",dra;mat;i;cal;ly,dra,mat,i,cal,ly,,,
,dramatic,3,"'dramatic': 3,",dra;mat;ic,dra,mat,ic,,,,,
,draperies,3,"'draperies': 3,",dra;per;ies,dra,per,ies,,,,,
,drapery,3,"'drapery': 3,",dra;per;y,dra,per,y,,,,,
,drab,1,"'drab': 1,",drab,drab,,,,,,,
,draft,1,"'draft': 1,",draft,draft,,,,,,,
,drafter,2,"'drafter': 2,",draft;er,draft,er,,,,,,
,drag,1,"'drag': 1,",drag,drag,,,,,,,
,dragging,2,"'dragging': 2,",drag;ging,drag,ging,,,,,,
,dragon,2,"'dragon': 2,",drag;on,drag,on,,,,,,
,dragonfly,3,"'dragonfly': 3,",drag;on;fly,drag,on,fly,,,,,
,dragster,2,"'dragster': 2,",drag;ster,drag,ster,,,,,,
,drain,1,"'drain': 1,",drain,drain,,,,,,,
,drainage,2,"'drainage': 2,",drain;age,drain,age,,,,,,
,drake,1,"'drake': 1,",drake,drake,,,,,,,
,dram,1,"'dram': 1,",dram,dram,,,,,,,
,drank,1,"'drank': 1,",drank,drank,,,,,,,
,draper,2,"'draper': 2,",drap;er,drap,er,,,,,,
,drape,1,"'drape': 1,",drape,drape,,,,,,,
,drapes,1,"'drapes': 1,",drapes,drapes,,,,,,,
,drastically,4,"'drastically': 4,",dras;ti;cal;ly,dras,ti,cal,ly,,,,
,drastic,2,"'drastic': 2,",dras;tic,dras,tic,,,,,,
,draught,1,"'draught': 1,",draught,draught,,,,,,,
,draw,1,"'draw': 1,",draw,draw,,,,,,,
,drawback,2,"'drawback': 2,",draw;back,draw,back,,,,,,
,drawer,2,"'drawer': 2,",draw;er,draw,er,,,,,,
,drawing,2,"'drawing': 2,",draw;ing,draw,ing,,,,,,
,drawstring,2,"'drawstring': 2,",draw;string,draw,string,,,,,,
,drawn,1,"'drawn': 1,",drawn,drawn,,,,,,,
,dread,1,"'dread': 1,",dread,dread,,,,,,,
,dreadful,2,"'dreadful': 2,",dread;ful,dread,ful,,,,,,
,dreadnought,2,"'dreadnought': 2,",dread;nought,dread,nought,,,,,,
,dream,1,"'dream': 1,",dream,dream,,,,,,,
,dreamer,2,"'dreamer': 2,",dream;er,dream,er,,,,,,
,dreaming,2,"'dreaming': 2,",dream;ing,dream,ing,,,,,,
,dreamland,2,"'dreamland': 2,",dream;land,dream,land,,,,,,
,dreamtime,2,"'dreamtime': 2,",dream;time,dream,time,,,,,,
,dreamy,2,"'dreamy': 2,",dream;y,dream,y,,,,,,
,dreamt,1,"'dreamt': 1,",dreamt,dreamt,,,,,,,
,dreary,2,"'dreary': 2,",drear;y,drear,y,,,,,,
,dredging,2,"'dredging': 2,",dredg;ing,dredg,ing,,,,,,
,dredge,1,"'dredge': 1,",dredge,dredge,,,,,,,
,dree,1,"'dree': 1,",dree,dree,,,,,,,
,dressage,2,"'dressage': 2,",dres;sage,dres,sage,,,,,,
,dress,1,"'dress': 1,",dress,dress,,,,,,,
,dresser,2,"'dresser': 2,",dress;er,dress,er,,,,,,
,dressing,2,"'dressing': 2,",dress;ing,dress,ing,,,,,,
,dressings,2,"'dressings': 2,",dress;ings,dress,ings,,,,,,
,dressy,2,"'dressy': 2,",dress;y,dress,y,,,,,,
,drew,1,"'drew': 1,",drew,drew,,,,,,,
,drier,2,"'drier': 2,",dri;er,dri,er,,,,,,
,dribble,2,"'dribble': 2,",drib;ble,drib,ble,,,,,,
,dried,1,"'dried': 1,",dried,dried,,,,,,,
,drift,1,"'drift': 1,",drift,drift,,,,,,,
,drifter,2,"'drifter': 2,",drift;er,drift,er,,,,,,
,driftwood,2,"'driftwood': 2,",drift;wood,drift,wood,,,,,,
,drill,1,"'drill': 1,",drill,drill,,,,,,,
,driller,2,"'driller': 2,",drill;er,drill,er,,,,,,
,drilling,2,"'drilling': 2,",drill;ing,drill,ing,,,,,,
,drink,1,"'drink': 1,",drink,drink,,,,,,,
,drinker,2,"'drinker': 2,",drink;er,drink,er,,,,,,
,drinking,2,"'drinking': 2,",drink;ing,drink,ing,,,,,,
,drip,1,"'drip': 1,",drip,drip,,,,,,,
,dripping,2,"'dripping': 2,",drip;ping,drip,ping,,,,,,
,drivel,2,"'drivel': 2,",driv;el,driv,el,,,,,,
,driven,2,"'driven': 2,",driv;en,driv,en,,,,,,
,driver,2,"'driver': 2,",driv;er,driv,er,,,,,,
,driving,2,"'driving': 2,",driv;ing,driv,ing,,,,,,
,drive,1,"'drive': 1,",drive,drive,,,,,,,
,driveway,2,"'driveway': 2,",drive;way,drive,way,,,,,,
,drizzle,2,"'drizzle': 2,",driz;zle,driz,zle,,,,,,
,drosophila,4,"'drosophila': 4,",dro;soph;i;la,dro,soph,i,la,,,,
,droit,1,"'droit': 1,",droit,droit,,,,,,,
,drone,1,"'drone': 1,",drone,drone,,,,,,,
,drool,1,"'drool': 1,",drool,drool,,,,,,,
,drop,1,"'drop': 1,",drop,drop,,,,,,,
,droplet,2,"'droplet': 2,",drop;let,drop,let,,,,,,
,dropout,2,"'dropout': 2,",drop;out,drop,out,,,,,,
,dropper,2,"'dropper': 2,",drop;per,drop,per,,,,,,
,dropping,2,"'dropping': 2,",drop;ping,drop,ping,,,,,,
,droppings,2,"'droppings': 2,",drop;pings,drop,pings,,,,,,
,drops,1,"'drops': 1,",drops,drops,,,,,,,
,drought,1,"'drought': 1,",drought,drought,,,,,,,
,drove,1,"'drove': 1,",drove,drove,,,,,,,
,drowsiness,3,"'drowsiness': 3,",drow;si;ness,drow,si,ness,,,,,
,drown,1,"'drown': 1,",drown,drown,,,,,,,
,drowsy,2,"'drowsy': 2,",drows;y,drows,y,,,,,,
,druid,2,"'druid': 2,",dru;id,dru,id,,,,,,
,drudge,1,"'drudge': 1,",drudge,drudge,,,,,,,
,drug,1,"'drug': 1,",drug,drug,,,,,,,
,drugstore,2,"'drugstore': 2,",drug;store,drug,store,,,,,,
,drum,1,"'drum': 1,",drum,drum,,,,,,,
,drummer,2,"'drummer': 2,",drum;mer,drum,mer,,,,,,
,drumming,2,"'drumming': 2,",drum;ming,drum,ming,,,,,,
,drunk,1,"'drunk': 1,",drunk,drunk,,,,,,,
,drunken,2,"'drunken': 2,",drunk;en,drunk,en,,,,,,
,drunkenness,3,"'drunkenness': 3,",drunk;en;ness,drunk,en,ness,,,,,
,dry,1,"'dry': 1,",dry,dry,,,,,,,
,drying,2,"'drying': 2,",dry;ing,dry,ing,,,,,,
,dryness,2,"'dryness': 2,",dry;ness,dry,ness,,,,,,
,dryer,1,"'dryer': 1,",dryer,dryer,,,,,,,
,dsp,1,"'dsp': 1,",dsp,dsp,,,,,,,
,dual,2,"'dual': 2,",du;al,du,al,,,,,,
,duality,4,"'duality': 4,",du;al;i;ty,du,al,i,ty,,,,
,dualism,3,"'dualism': 3,",du;al;ism,du,al,ism,,,,,
,dually,3,"'dually': 3,",du;al;ly,du,al,ly,,,,,
,dubious,3,"'dubious': 3,",du;bi;ous,du,bi,ous,,,,,
,duce,2,"'duce': 2,",du;ce,du,ce,,,,,,
,duel,2,"'duel': 2,",du;el,du,el,,,,,,
,dueling,3,"'dueling': 3,",du;el;ing,du,el,ing,,,,,
,duet,2,"'duet': 2,",du;et,du,et,,,,,,
,duly,2,"'duly': 2,",du;ly,du,ly,,,,,,
,duma,2,"'duma': 2,",du;ma,du,ma,,,,,,
,duo,2,"'duo': 2,",du;o,du,o,,,,,,
,duodenal,4,"'duodenal': 4,",du;o;de;nal,du,o,de,nal,,,,
,duplex,2,"'duplex': 2,",du;plex,du,plex,,,,,,
,duplication,4,"'duplication': 4,",du;pli;ca;tion,du,pli,ca,tion,,,,
,duplicator,4,"'duplicator': 4,",du;pli;ca;tor,du,pli,ca,tor,,,,
,duplicated,4,"'duplicated': 4,",du;pli;cat;ed,du,pli,cat,ed,,,,
,duplicating,4,"'duplicating': 4,",du;pli;cat;ing,du,pli,cat,ing,,,,
,duplicate,3,"'duplicate': 3,",du;pli;cate,du,pli,cate,,,,,
,dura,2,"'dura': 2,",du;ra,du,ra,,,,,,
,durability,5,"'durability': 5,",du;ra;bil;i;ty,du,ra,bil,i,ty,,,
,durable,3,"'durable': 3,",du;ra;ble,du,ra,ble,,,,,
,duration,3,"'duration': 3,",du;ra;tion,du,ra,tion,,,,,
,duress,2,"'duress': 2,",du;ress,du,ress,,,,,,
,duro,2,"'duro': 2,",du;ro,du,ro,,,,,,
,duty,2,"'duty': 2,",du;ty,du,ty,,,,,,
,duvet,2,"'duvet': 2,",du;vet,du,vet,,,,,,
,dub,1,"'dub': 1,",dub,dub,,,,,,,
,dubbing,2,"'dubbing': 2,",dub;bing,dub,bing,,,,,,
,ductile,2,"'ductile': 2,",duc;tile,duc,tile,,,,,,
,duchess,2,"'duchess': 2,",duch;ess,duch,ess,,,,,,
,duchy,2,"'duchy': 2,",duch;y,duch,y,,,,,,
,duck,1,"'duck': 1,",duck,duck,,,,,,,
,duckling,2,"'duckling': 2,",duck;ling,duck,ling,,,,,,
,ducky,2,"'ducky': 2,",duck;y,duck,y,,,,,,
,ducks,1,"'ducks': 1,",ducks,ducks,,,,,,,
,duct,1,"'duct': 1,",duct,duct,,,,,,,
,dud,1,"'dud': 1,",dud,dud,,,,,,,
,dude,1,"'dude': 1,",dude,dude,,,,,,,
,due,1,"'due': 1,",due,due,,,,,,,
,dues,1,"'dues': 1,",dues,dues,,,,,,,
,duffel,2,"'duffel': 2,",duf;fel,duf,fel,,,,,,
,duffle,2,"'duffle': 2,",duf;fle,duf,fle,,,,,,
,duff,1,"'duff': 1,",duff,duff,,,,,,,
,dug,1,"'dug': 1,",dug,dug,,,,,,,
,dugout,2,"'dugout': 2,",dug;out,dug,out,,,,,,
,duke,1,"'duke': 1,",duke,duke,,,,,,,
,dukes,1,"'dukes': 1,",dukes,dukes,,,,,,,
,dulcimer,3,"'dulcimer': 3,",dul;ci;mer,dul,ci,mer,,,,,
,dull,1,"'dull': 1,",dull,dull,,,,,,,
,dummy,2,"'dummy': 2,",dum;my,dum,my,,,,,,
,dumb,1,"'dumb': 1,",dumb,dumb,,,,,,,
,dumbbell,2,"'dumbbell': 2,",dumb;bell,dumb,bell,,,,,,
,dump,1,"'dump': 1,",dump,dump,,,,,,,
,dumper,2,"'dumper': 2,",dump;er,dump,er,,,,,,
,dumps,1,"'dumps': 1,",dumps,dumps,,,,,,,
,dun,1,"'dun': 1,",dun,dun,,,,,,,
,dungeon,2,"'dungeon': 2,",dun;geon,dun,geon,,,,,,
,dunning,2,"'dunning': 2,",dun;ning,dun,ning,,,,,,
,dunno,2,"'dunno': 2,",dun;no,dun,no,,,,,,
,dune,1,"'dune': 1,",dune,dune,,,,,,,
,dung,1,"'dung': 1,",dung,dung,,,,,,,
,dunk,1,"'dunk': 1,",dunk,dunk,,,,,,,
,duomo,2,"'duomo': 2,",duo;mo,duo,mo,,,,,,
,dup,1,"'dup': 1,",dup,dup,,,,,,,
,duper,2,"'duper': 2,",dup;er,dup,er,,,,,,
,dupe,1,"'dupe': 1,",dupe,dupe,,,,,,,
,during,2,"'during': 2,",dur;ing,dur,ing,,,,,,
,durst,1,"'durst': 1,",durst,durst,,,,,,,
,dusk,1,"'dusk': 1,",dusk,dusk,,,,,,,
,dusky,2,"'dusky': 2,",dusk;y,dusk,y,,,,,,
,dust,1,"'dust': 1,",dust,dust,,,,,,,
,duster,2,"'duster': 2,",dust;er,dust,er,,,,,,
,dusting,2,"'dusting': 2,",dust;ing,dust,ing,,,,,,
,dusty,2,"'dusty': 2,",dust;y,dust,y,,,,,,
,dutch,1,"'dutch': 1,",dutch,dutch,,,,,,,
,dwarf,1,"'dwarf': 1,",dwarf,dwarf,,,,,,,
,dwell,1,"'dwell': 1,",dwell,dwell,,,,,,,
,dweller,2,"'dweller': 2,",dwell;er,dwell,er,,,,,,
,dwelling,2,"'dwelling': 2,",dwell;ing,dwell,ing,,,,,,
,dwelt,1,"'dwelt': 1,",dwelt,dwelt,,,,,,,
,dwt,1,"'dwt': 1,",dwt,dwt,,,,,,,
,dyer,2,"'dyer': 2,",dy;er,dy,er,,,,,,
,dying,2,"'dying': 2,",dy;ing,dy,ing,,,,,,
,dynamism,3,"'dynamism': 3,",dy;na;mism,dy,na,mism,,,,,
,dynamite,3,"'dynamite': 3,",dy;na;mite,dy,na,mite,,,,,
,dynamo,3,"'dynamo': 3,",dy;na;mo,dy,na,mo,,,,,
,dynamical,4,"'dynamical': 4,",dy;nam;i;cal,dy,nam,i,cal,,,,
,dynamically,5,"'dynamically': 5,",dy;nam;i;cal;ly,dy,nam,i,cal,ly,,,
,dynamic,3,"'dynamic': 3,",dy;nam;ic,dy,nam,ic,,,,,
,dynamics,3,"'dynamics': 3,",dy;nam;ics,dy,nam,ics,,,,,
,dye,1,"'dye': 1,",dye,dye,,,,,,,
,dyeing,2,"'dyeing': 2,",dye;ing,dye,ing,,,,,,
,dyke,1,"'dyke': 1,",dyke,dyke,,,,,,,
,dynasty,3,"'dynasty': 3,",dyn;as;ty,dyn,as,ty,,,,,
,dysfunction,3,"'dysfunction': 3,",dys;func;tion,dys,func,tion,,,,,
,dyslexia,4,"'dyslexia': 4,",dys;lex;i;a,dys,lex,i,a,,,,
,dysphagia,3,"'dysphagia': 3,",dys;pha;gia,dys,pha,gia,,,,,
,dysplasia,3,"'dysplasia': 3,",dys;pla;sia,dys,pla,sia,,,,,
,dystopia,4,"'dystopia': 4,",dys;top;i;a,dys,top,i,a,,,,
,dystrophy,3,"'dystrophy': 3,",dys;tro;phy,dys,tro,phy,,,,,
,eclipse,2,"'eclipse': 2,",e;clipse,e,clipse,,,,,,
,eclipsed,2,"'eclipsed': 2,",e;clipsed,e,clipsed,,,,,,
,economical,5,"'economical': 5,",e;co;nom;i;cal,e,co,nom,i,cal,,,
,economically,6,"'economically': 6,",e;co;nom;i;cal;ly,e,co,nom,i,cal,ly,,
,economic,4,"'economic': 4,",e;co;nom;ic,e,co,nom,ic,,,,
,economics,4,"'economics': 4,",e;co;nom;ics,e,co,nom,ics,,,,
,ecologist,4,"'ecologist': 4,",e;col;o;gist,e,col,o,gist,,,,
,ecology,4,"'ecology': 4,",e;col;o;gy,e,col,o,gy,,,,
,econometric,5,"'econometric': 5,",e;con;o;met;ric,e,con,o,met,ric,,,
,econometrics,5,"'econometrics': 5,",e;con;o;met;rics,e,con,o,met,rics,,,
,economist,4,"'economist': 4,",e;con;o;mist,e,con,o,mist,,,,
,economy,4,"'economy': 4,",e;con;o;my,e,con,o,my,,,,
,ecu,2,"'ecu': 2,",e;cu,e,cu,,,,,,
,edema,3,"'edema': 3,",e;de;ma,e,de,ma,,,,,
,edelweiss,3,"'edelweiss': 3,",e;del;weiss,e,del,weiss,,,,,
,edition,3,"'edition': 3,",e;di;tion,e,di,tion,,,,,
,edict,2,"'edict': 2,",e;dict,e,dict,,,,,,
,egalitarian,6,"'egalitarian': 6,",e;gal;i;tar;i;an,e,gal,i,tar,i,an,,
,ego,2,"'ego': 2,",e;go,e,go,,,,,,
,egos,2,"'egos': 2,",e;gos,e,gos,,,,,,
,egregious,3,"'egregious': 3,",e;gre;gious,e,gre,gious,,,,,
,egress,2,"'egress': 2,",e;gress,e,gress,,,,,,
,egret,2,"'egret': 2,",e;gret,e,gret,,,,,,
,ejaculation,5,"'ejaculation': 5,",e;jac;u;la;tion,e,jac,u,la,tion,,,
